,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen Sirpa+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,8.27E-3,21.6,0.44,5.65,0.097,18.3,2.36E-3,0.67,5.38,0.034,0.15,0.021,0.21,0.93,5.91E-3,0.044,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,0.026,11.9,8.78,6.51,0,32.4,0.79,0.69,11.2,7.38,0.49,0.026,1.00,2.96,0.013,0.18,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,0.015,5.14,18.8,2.67,0.099,29.6,0.31,0.44,8.95,4.81,0.26,0.030,1.09,2.31,0,0.20,0,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,0.019,29.2,7.09,7.06,0.22,32.1,8.08E-3,0.44,12.0,0.055,0.45,0.021,0.21,8.51,1.52E-3,0.081,0.012,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,4.68E-3,0.12,2.86,3.29,0.12,36.1,0.016,0.41,7.31,0.19,0.32,7.02E-3,0.91,2.82,2.34E-3,0.056,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,0,7.72,2.21,3.89,0.061,16.8,0.14,0.54,6.78,4.78,0.14,0.031,0.94,2.75,0,0.17,0.015,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,0.011,2.36,2.56,4.59,0.099,9.29,0.022,0.66,2.28,2.08,0.016,0.011,0.48,0.16,0.011,0.038,5.48E-3,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,0.022,23.8,3.37,10.8,0.31,14.6,8.86E-3,0.37,11.4,0.21,0.39,0.024,0.25,8.16,8.86E-3,0.11,0.012,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,6.76E-3,2.44,2.28,7.10,0.25,16.0,0.017,0.51,6.43,0.52,0.21,0.020,0.66,3.06,6.76E-3,0.098,0.010,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,0,1.99,2.63,0.71,0.033,38.2,0.32,0.12,4.36,2.51,0.19,6.61E-3,0.48,0.50,6.61E-3,0.040,6.61E-3,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0.45,2.19,0.74,0.037,38.2,0.069,0.16,4.63,1.60,0.12,0,0.58,0.090,0,0.011,0,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,0.015,28.8,2.42,0.57,0.30,38.7,6.60E-3,0.40,6.51,0.13,0.22,0.016,0.17,0.56,1.47E-3,0.024,2.20E-3,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,0.015,0.74,1.82,0.62,0.31,39.5,0.20,0.45,4.34,1.64,0.12,5.00E-3,0.43,0.28,0,0.040,5.00E-3,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,0.021,0.043,0.92,2.18,0,37.5,0.043,0.26,5.80,2.63,0.43,0.021,1.99,0.51,0,0.11,0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0.035,1.50,1.55,0.058,30.4,0.058,0.41,3.71,1.92,0.28,0.012,2.27,0.46,0.012,0.13,0.023,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,0.035,19.4,1.95,4.75,0.11,37.5,0.011,0.43,9.49,0.28,0.39,0.013,0.44,2.25,0.016,0.079,8.02E-3,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,0.021,17.3,1.42,3.94,0.14,29.4,4.06E-3,0.36,8.88,0.059,0.23,0.021,0.23,2.29,2.03E-3,0.066,6.08E-3,
2022-10-27_Tasso ID 10 Vein Ack Lysed WB Frozen.fcs,0,0.049,0.89,2.79,0.082,34.4,8.22E-3,0.52,5.15,0.52,0.27,8.22E-3,1.42,0.35,0,0.058,0.016,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,0.015,1.61,1.05,2.41,0.020,33.5,0.54,0.18,4.82,7.00,0.18,0.010,0.41,1.41,0,0.066,5.09E-3,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,0.016,12.5,1.23,1.48,0.098,31.4,0.29,0.27,4.01,6.57,0.11,6.54E-3,0.84,0.29,0,0.069,6.54E-3,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,0.013,35.2,2.76,5.45,0.13,33.6,0.032,0.18,6.54,0.50,0.37,0.013,0.22,5.23,1.00E-2,0.14,0.014,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,0,0.19,1.07,2.75,0.049,31.2,0.39,0.20,3.39,4.12,0.14,0,0.62,1.84,0,0.073,0,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,8.02E-3,0.68,2.18,3.78,0.20,22.6,0.45,0.19,5.99,1.30,0.17,0.020,0.30,1.33,0,0.036,0.036,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,7.92E-3,4.73,3.58,4.67,0.19,22.8,0.099,0.12,6.28,0.36,0.17,0.020,0.67,0.67,1.98E-3,0.028,0.028,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,0.018,33.3,3.03,7.18,1.02,25.8,0.032,0.66,11.6,0.18,0.43,0.044,0.38,4.48,0,0.055,0.041,
2022-10-27_Tasso ID 13 Vein Ack Lysed WB Frozen.fcs,0,0.32,2.67,4.37,0.51,21.5,0.16,0.50,6.01,0.89,0.25,0.016,0.28,1.92,3.96E-3,0.028,0.016,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,0,16.9,3.26,1.88,0.020,29.6,0.35,0.80,8.91,24.8,0.61,0.020,0.43,9.44,0,0.082,0.020,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,0.069,12.7,2.12,0.77,0.028,28.3,0.11,0.88,6.15,11.2,0.22,0.041,0.34,0.61,0,0.055,0,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,0.028,25.9,1.82,2.39,0.16,32.8,0.029,0.38,9.19,0.61,0.82,0.051,0.24,12.4,4.83E-3,0.068,0.059,
2022-10-27_Tasso ID 14 Vein Ack Lysed WB Frozen.fcs,3.77E-3,0.11,1.34,1.58,0.13,29.3,0.010,0.33,6.28,0.22,0.51,0.039,0.60,6.74,3.77E-3,0.047,0.048,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,0,0.23,0.64,7.75,0,25.9,2.02,0.18,7.91,20.8,0.18,0.023,0.60,1.31,0,0.023,0.023,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,0,14.2,1.53,6.68,0,24.7,2.89,0.17,8.62,40.2,0.12,0.041,1.69,0.25,0,0.083,0,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,0.016,25.9,0.38,12.7,0.13,24.9,0.039,0.43,10.9,0.27,0.42,0.013,0.35,3.24,3.59E-3,0.084,0.019,
2022-10-27_Tasso ID 15 Vein Ack Lysed WB Frozen.fcs,0,0.043,0.30,7.31,0,25.5,0.78,0.32,7.08,12.6,0.26,0,1.04,0.55,0,0.072,0,
