,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen Sirpa+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,0.26,93.3,5.19,0.41,9.12,40.5,71.6,8.94,15.8,0.28,0.74,0.45,1.13,3.22,0.64,0.092,0.010,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,0,91.3,5.97,1.12,1.62,75.0,92.4,3.36,13.9,12.1,2.36,0.37,3.11,1.62,0.37,0.37,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,0.19,66.1,2.58,0.49,1.50,73.7,91.6,2.02,9.28,16.9,0.22,0.37,1.46,3.37,0.26,0.30,0,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,0.17,92.5,11.6,0.11,5.28,78.3,94.5,3.24,23.8,1.24,3.29,0.90,1.11,2.30,0.37,0.30,0,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,0.12,44.6,2.90,0.28,2.57,74.8,92.9,2.94,9.21,2.15,1.48,0.33,1.04,3.68,0.14,0.14,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,0.17,92.0,2.94,0.42,8.14,65.9,84.8,2.94,14.6,7.13,1.76,0.25,2.52,1.68,0.084,0.084,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,0.14,59.0,10.8,0.29,7.65,47.0,77.6,4.76,43.0,1.73,0.14,0.14,1.30,1.44,0.14,0.14,0,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,0.17,94.3,12.9,0.24,13.9,63.4,93.4,3.69,36.1,1.35,2.27,1.04,0.92,2.05,0.49,0.15,0.016,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,0.12,83.0,2.75,0.45,7.73,61.5,91.0,2.54,14.5,2.12,1.43,0.40,1.62,2.30,0.21,0.052,0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,0.12,84.0,3.22,0.99,1.70,64.0,90.2,0.99,8.48,7.89,1.70,0.35,1.35,1.99,0.12,0.18,0.058,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,0.085,57.6,1.37,0.73,2.58,54.5,81.9,0.65,4.95,5.55,0.31,0.24,0.56,1.57,0.14,0.034,0,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,0.19,91.5,5.85,0.062,5.29,66.4,92.5,1.35,13.2,1.63,1.32,0.72,0.44,2.05,0.15,0.070,7.75E-3,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,0.058,79.0,2.89,0.35,3.23,62.9,93.3,1.76,7.51,5.95,0.89,0.35,0.98,3.29,0.20,0.087,0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,0,56.3,4.04,3.23,7.28,66.3,69.5,3.23,9.43,9.43,2.16,2.16,5.12,3.50,0.27,0.54,0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,0.11,48.8,1.77,1.66,6.10,58.6,46.7,1.55,5.54,3.77,0.33,0.55,2.55,1.44,0.11,0.22,0.78,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,0.36,86.7,7.89,0.23,13.4,73.6,78.1,8.83,19.2,2.40,2.63,1.36,1.56,1.53,0.71,0.19,0.13,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,0.25,90.7,5.30,0.22,14.2,69.1,73.7,7.60,20.5,0.65,2.03,1.42,1.13,2.01,0.54,0.13,0.21,
2022-10-27_Tasso ID 10 Vein Ack Lysed WB Frozen.fcs,0,17.8,2.36,2.58,8.87,60.9,70.7,5.16,8.19,3.93,1.91,0.34,2.02,1.80,0.67,0.45,0.11,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,0.20,83.5,1.68,0.059,5.73,71.0,90.2,1.80,7.11,8.68,1.36,0.38,1.30,2.53,0.079,0.12,0,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,0.14,72.6,2.98,0.087,4.39,63.7,83.7,1.41,6.03,4.52,0.31,0.23,0.91,2.65,0.076,0.065,0.022,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,0.54,95.6,5.83,0.058,5.67,74.1,93.0,1.81,15.2,2.99,2.89,0.43,0.69,4.03,0.46,0.082,0.016,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,0.25,65.2,1.53,0.10,4.67,70.5,93.3,1.78,6.49,6.12,1.63,0.43,1.16,2.83,0.21,0.062,0,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,0.13,69.2,3.97,0.38,6.01,58.6,84.8,0.91,11.2,5.41,1.04,0.23,0.53,2.02,0.10,0,0,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,0.19,76.2,3.92,0.73,5.03,57.3,64.5,0.69,9.02,4.02,0.29,0.31,1.00,1.44,0.099,0.11,0.022,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,0.21,92.7,8.62,0.14,9.95,66.5,88.7,2.58,20.2,1.78,1.84,0.77,0.85,1.67,0.18,0.11,0.010,
2022-10-27_Tasso ID 13 Vein Ack Lysed WB Frozen.fcs,0.23,69.2,3.75,0.60,5.99,60.1,85.4,1.77,12.2,6.64,1.41,0.31,0.76,2.34,0.18,0.13,0.026,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,0,92.0,1.64,0.41,3.29,65.1,80.1,1.44,6.16,6.78,0.21,0.21,1.03,1.23,0,0.21,0,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,0.17,69.8,0.94,0.086,3.26,62.9,46.6,1.80,1.89,6.78,0,0.26,1.37,2.32,0,0.086,0,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,0.26,93.4,4.62,0.14,7.60,70.5,84.7,2.09,11.9,2.50,2.27,0.46,1.03,2.18,0.34,0.11,0,
2022-10-27_Tasso ID 14 Vein Ack Lysed WB Frozen.fcs,0.100,32.9,1.45,0.52,4.42,62.6,77.2,1.71,5.67,0.63,0.99,0.28,1.08,2.34,0.24,0.067,0.011,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,0.22,80.4,1.77,0.66,6.62,70.9,92.7,1.99,15.0,25.2,1.55,0.22,1.10,1.10,0,0,0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,0.44,95.2,2.18,0,2.18,77.3,90.4,0.87,10.5,41.9,0.87,0.44,0.87,0.87,0,0,0,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,0.46,96.3,6.79,0.38,9.23,68.3,92.6,2.39,35.2,1.56,3.53,1.63,1.07,2.02,0.55,0.30,0.014,
2022-10-27_Tasso ID 15 Vein Ack Lysed WB Frozen.fcs,0,34.7,1.13,0.42,6.61,60.3,90.6,2.81,15.2,17.0,1.97,0.56,1.83,1.41,0.14,0.28,0,
