,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen Sirpa+ | Freq. of Parent (%)",
2024-11-14_SAC253053.fcs,0.30,0.50,99.4,0.19,93.0,99.1,2.01,59.6,0.17,97.2,98.8,65.1,37.4,82.1,0.29,1.45,81.7,
2024-11-14_Tasso ID 05 Tasso WB SH.fcs,7.58,2.27,96.2,0,94.7,99.2,46.2,45.5,0,99.2,97.0,81.1,37.1,92.4,0,3.79,80.3,
2024-11-14_Tasso ID 05 Tasso WB.fcs,0.47,0.52,99.4,1.75,97.7,99.0,1.56,46.9,0.44,96.9,99.3,71.0,53.3,93.6,0.12,1.53,93.3,
2024-11-14_Tasso ID 05 Vein PBMC.fcs,0.51,0.42,99.5,0.79,96.9,98.9,1.51,56.9,0.44,96.2,99.0,79.2,29.5,93.9,0.085,1.72,89.7,
2024-11-14_Tasso ID 05 Vein WB.fcs,0.40,0.42,99.3,1.18,97.8,98.5,1.63,53.1,0.42,94.6,97.7,69.1,49.4,93.4,0.090,2.02,90.1,
2024-11-14_Tasso ID 07 Tasso WB SH.fcs,7.69,15.4,38.5,2.56,30.8,84.6,15.4,33.3,2.56,71.8,56.4,10.3,25.6,15.4,2.56,2.56,25.6,
2024-11-14_Tasso ID 07 Tasso WB.fcs,0.22,0.25,99.6,0.86,84.6,99.0,6.25,49.0,0.55,97.6,99.1,75.7,51.0,93.2,0.17,4.16,97.2,
2024-11-14_Tasso ID 07 Vein PBMC.fcs,0.77,0.49,99.5,0.31,82.5,99.6,18.1,44.4,0.86,98.4,99.3,80.1,50.3,92.5,0.25,5.08,97.3,
2024-11-14_Tasso ID 07 Vein WB.fcs,0.46,0.20,99.6,0.85,85.2,99.2,6.74,53.5,0.35,97.4,99.0,69.3,52.2,94.8,0.065,3.46,97.4,
2024-11-14_Tasso ID 12 Tasso WB SH.fcs,0.45,0.69,98.1,3.98,89.8,96.0,2.78,41.0,3.79,92.9,98.1,70.0,50.5,90.2,0.43,2.67,88.4,
2024-11-14_Tasso ID 12 Tasso WB.fcs,0.34,0.17,99.8,2.29,84.3,98.4,0.30,46.2,0.32,96.2,98.9,79.8,51.6,95.3,0.034,3.13,98.3,
2024-11-14_Tasso ID 12 Vein PBMC.fcs,0.56,0.19,99.7,0.19,85.1,98.7,0.93,53.6,0.52,97.0,99.0,77.5,32.2,94.2,0.14,2.64,96.7,
2024-11-14_Tasso ID 12 Vein WB.fcs,0.38,0.12,99.4,0.82,86.4,98.0,0.59,54.2,0.45,94.5,97.4,73.2,51.6,94.2,0.044,2.59,95.5,
2024-11-14_Tasso ID 17 Tasso WB SH.fcs,3.65,1.29,95.7,0.43,96.6,99.4,44.8,61.2,1.07,99.4,98.5,87.3,60.1,95.3,0.21,10.1,85.4,
2024-11-14_Tasso ID 17 Tasso WB.fcs,5.79,1.60,97.2,1.80,95.6,99.0,43.9,72.3,2.79,99.2,98.6,93.6,72.5,98.2,0,4.99,89.4,
2024-11-14_Tasso ID 17 Vein PBMC.fcs,0.44,0.31,98.7,1.44,95.6,99.4,2.47,62.1,0.57,96.4,99.4,89.7,37.9,97.9,0.39,2.00,91.8,
2024-11-14_Tasso ID 17 Vein WB.fcs,0.71,0.31,98.5,2.97,98.3,99.6,7.35,66.2,0.44,97.9,97.9,86.9,57.8,96.6,0.22,2.83,89.7,
2024-11-14_Tasso ID 18 Tasso WB SH.fcs,2.42,4.24,95.5,3.94,89.1,97.9,11.5,41.2,2.73,94.8,92.7,74.8,23.6,90.9,0.30,3.64,89.4,
2024-11-14_Tasso ID 18 Tasso WB.fcs,0.83,2.69,97.6,3.08,91.3,98.0,3.72,51.6,1.27,96.8,96.7,82.5,50.2,95.2,0,5.18,95.7,
2024-11-14_Tasso ID 18 Vein PBMC.fcs,1.19,1.55,98.8,0.14,97.2,98.3,4.75,79.6,1.12,97.0,98.2,73.3,39.5,93.8,3.80,6.70,95.1,
2024-11-14_Tasso ID 18 Vein WB.fcs,0.66,1.99,98.2,1.07,95.5,98.0,3.01,64.4,1.55,95.5,96.4,81.4,38.1,94.4,0.53,3.88,94.7,
2024-11-14_Tasso ID 19 Tasso WB SH.fcs,0.93,5.61,92.5,5.61,88.3,92.1,13.1,57.0,0.47,92.1,86.4,51.9,46.3,86.4,0.93,4.67,87.9,
2024-11-14_Tasso ID 19 Tasso WB.fcs,0.66,0.71,98.8,2.28,96.9,97.3,1.57,57.1,1.22,97.7,95.3,75.3,65.2,94.9,0.051,6.85,96.6,
2024-11-14_Tasso ID 19 Vein PBMC.fcs,0.54,0.85,99.1,0.29,98.5,96.9,1.10,56.4,1.59,98.0,97.4,69.5,39.8,95.4,0.89,6.57,97.4,
2024-11-14_Tasso ID 19 Vein WB.fcs,0.32,0.21,99.1,0.81,93.9,96.5,0.95,53.2,0.76,97.6,97.2,74.9,48.2,95.9,0.048,2.94,95.4,
2024-11-14_Tasso ID 20 Tasso WB SH.fcs,3.45,3.45,94.0,0.69,63.0,99.5,46.9,61.8,2.53,99.1,94.3,78.6,53.1,91.0,0,12.0,92.6,
2024-11-14_Tasso ID 20 Tasso WB.fcs,2.11,1.12,98.9,0.21,49.9,99.6,32.3,51.2,2.11,99.4,98.9,94.7,62.0,97.0,0.070,5.06,98.2,
2024-11-14_Tasso ID 20 Vein PBMC.fcs,0.57,0.45,99.0,0.12,69.4,99.6,1.14,48.6,0.49,97.6,98.6,86.7,31.1,93.2,0.066,2.59,96.4,
2024-11-14_Tasso ID 20 Vein WB.fcs,0.60,0.67,98.9,0.57,77.0,99.6,3.61,57.4,0.60,96.6,97.0,85.0,51.4,93.3,0.072,3.33,94.3,
2024-11-14_Tasso ID 21 Tasso WB SH.fcs,0.86,6.46,86.8,3.48,88.0,98.7,9.99,38.6,2.40,91.8,91.4,71.2,30.4,84.5,0.090,4.48,87.2,
2024-11-14_Tasso ID 21 Tasso WB.fcs,0.69,2.26,96.4,1.04,94.9,99.7,5.94,53.3,1.53,95.4,96.4,64.2,49.1,88.8,0.17,6.94,95.1,
2024-11-14_Tasso ID 21 Vein PBMC.fcs,4.99,2.89,97.1,0.26,97.1,99.8,39.4,66.6,4.41,96.7,97.3,74.7,41.4,90.3,0.65,11.1,95.9,
2024-11-14_Tasso ID 21 Vein WB.fcs,0.25,1.75,96.6,1.05,95.7,99.6,4.03,52.8,1.19,94.8,95.4,71.2,45.3,91.2,0.14,4.48,94.2,
